	Kingdom	Phylum	Class	Order	Family	Genus	Species	Subspecies	Name
MGS.hg1164	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg1165	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio sp. AM18-2	unclassified	Desulfovibrio sp. AM18-2
MGS.hg1166	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg1167	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg1168	Bacteria	Candidatus Melainabacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Candidatus Melainabacteria sp.
MGS.hg1169	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	unclassified	unclassified	Ruminococcaceae sp.
MGS.hg1170	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg1171	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Firmicutes sp.
MGS.hg1172	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	unclassified	unclassified	unclassified	Spirochaetaceae sp.
MGS.hg1173	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	unclassified	unclassified	unclassified	unclassified	Acidaminococcales sp.
MGS.hg1174	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	Sutterella parvirubra	unclassified	Sutterella parvirubra
MGS.hg1175	Bacteria	Firmicutes	Negativicutes	Selenomonadales	unclassified	unclassified	unclassified	unclassified	Selenomonadales sp.
MGS.hg1176	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg1177	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	unclassified	unclassified	unclassified	Bacteroidaceae sp.
MGS.ref1174	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. 12(A)	unclassified	Clostridium sp. 12(A)
MGS.ref1175	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	[Clostridium] celerecrescens	unclassified	[Clostridium] celerecrescens
MGS.ref1176	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	[Clostridium] citroniae	unclassified	[Clostridium] citroniae
MGS.ref1177	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax delafieldii	unclassified	Acidovorax delafieldii
MGS.ref1178	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Comamonas kerstersii	unclassified	Comamonas kerstersii
MGS.ref1179	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter bereziniae	unclassified	Acinetobacter bereziniae
MGS.ref1180	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter johnsonii	unclassified	Acinetobacter johnsonii
MGS.ref1181	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter ursingii	unclassified	Acinetobacter ursingii
MGS.ref1182	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter guillouiae	unclassified	Acinetobacter guillouiae
MGS.ref1183	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces ihuae	unclassified	Actinomyces ihuae
MGS.ref1184	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces oris	unclassified	Actinomyces oris
MGS.ref1185	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas caviae	unclassified	Aeromonas caviae
MGS.ref1186	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	Anaerosphaera	unclassified	unclassified	Anaerosphaera sp.
MGS.ref1187	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Aliiarcobacter	Aliiarcobacter cryaerophilus	unclassified	Aliiarcobacter cryaerophilus
MGS.ref1188	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium sp. UNCCL125	unclassified	Methylobacterium sp. UNCCL125
MGS.ref1189	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium	unclassified	unclassified	Atopobium sp.
MGS.ref1190	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. An269	unclassified	Bacteroides sp. An269
MGS.ref1191	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium saeculare	unclassified	Bifidobacterium saeculare
MGS.ref1192	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia marasmi	unclassified	Blautia marasmi
MGS.ref1193	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia hansenii	unclassified	Blautia hansenii
MGS.ref1194	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Turicimonas	Turicimonas muris	unclassified	Turicimonas muris
MGS.ref1195	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Butyricimonas	Butyricimonas synergistica	unclassified	Butyricimonas synergistica
MGS.ref1196	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	Caecibacter massiliensis	unclassified	Caecibacter massiliensis
MGS.ref1197	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter sp. FWC26	unclassified	Caulobacter sp. FWC26
MGS.ref1198	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium	Chryseobacterium gambrini	unclassified	Chryseobacterium gambrini
MGS.ref1199	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter freundii	unclassified	Citrobacter freundii
MGS.ref1200	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter amalonaticus	unclassified	Citrobacter amalonaticus
MGS.ref1201	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter braakii	unclassified	Citrobacter braakii
MGS.ref1202	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter freundii	unclassified	Citrobacter freundii
MGS.ref1203	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	unclassified	unclassified	Citrobacter sp.
MGS.ref1204	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter sp. S-77	unclassified	Citrobacter sp. S-77
MGS.ref1205	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Synergistes	Synergistes sp. 3_1_syn1	unclassified	Synergistes sp. 3_1_syn1
MGS.ref1206	Bacteria	Firmicutes	Clostridia	Clostridiales	Erysipelotrichaceae	Dielma	Clostridiales bacterium VE202-08	unclassified	Clostridiales bacterium VE202-08
MGS.ref1207	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	Clostridiales bacterium 1_7_47FAA	unclassified	Clostridiales bacterium 1_7_47FAA
MGS.ref1208	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. MSTE9	unclassified	Clostridium sp. MSTE9
MGS.ref1209	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Gordonibacter	Gordonibacter sp. An232A	unclassified	Gordonibacter sp. An232A
MGS.ref1210	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	unclassified	unclassified	Corynebacterium sp.
MGS.ref1211	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes	Cutibacterium acnes subsp. acnes	Cutibacterium acnes subsp. acnes
MGS.ref1212	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium avidum	unclassified	Cutibacterium avidum
MGS.ref1213	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacterium	Propionibacterium sp. KPL1844	unclassified	Propionibacterium sp. KPL1844
MGS.ref1214	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae	unclassified	Enterobacter cloacae
MGS.ref1215	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae	Enterobacter cloacae subsp. cloacae	Enterobacter cloacae subsp. cloacae
MGS.ref1216	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae	unclassified	Enterobacter cloacae
MGS.ref1217	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Phytobacter	[Kluyvera] intestini	unclassified	[Kluyvera] intestini
MGS.ref1218	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	unclassified	Enterococcus faecium
MGS.ref1219	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus gilvus	unclassified	Enterococcus gilvus
MGS.ref1220	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus raffinosus	unclassified	Enterococcus raffinosus
MGS.ref1221	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	unclassified	Enterococcus faecium
MGS.ref1222	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Listeria monocytogenes	unclassified	Listeria monocytogenes
MGS.ref1223	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	Erysipelatoclostridium sp. An15	unclassified	Erysipelatoclostridium sp. An15
MGS.ref1224	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	unclassified	Escherichia coli
MGS.ref1225	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	unclassified	Escherichia coli
MGS.ref1226	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium limosum	unclassified	Eubacterium limosum
MGS.ref1227	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp. Leaf359	unclassified	Flavobacterium sp. Leaf359
MGS.ref1228	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Sanguibacteroides	Sanguibacteroides justesenii	unclassified	Sanguibacteroides justesenii
MGS.ref1229	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Gardnerella vaginalis	unclassified	Gardnerella vaginalis
MGS.ref1230	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	Granulicatella sp. 572.rep2_STHE	unclassified	Granulicatella sp. 572.rep2_STHE
MGS.ref1231	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus haemolyticus	unclassified	Haemophilus haemolyticus
MGS.ref1232	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Hafniaceae	Hafnia	Hafnia alvei	unclassified	Hafnia alvei
MGS.ref1233	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kosakonia	Kosakonia cowanii	unclassified	Kosakonia cowanii
MGS.ref1234	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unclassified	Klebsiella pneumoniae
MGS.ref1235	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus amylovorus	unclassified	Lactobacillus amylovorus
MGS.ref1236	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus helveticus	unclassified	Lactobacillus helveticus
MGS.ref1237	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri	unclassified	Lactobacillus reuteri
MGS.ref1238	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus vaginalis	unclassified	Lactobacillus vaginalis
MGS.ref1239	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	Lysinibacillus fusiformis	unclassified	Lysinibacillus fusiformis
MGS.ref1240	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	Veillonellaceae bacterium DNF00751	unclassified	Veillonellaceae bacterium DNF00751
MGS.ref1241	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	Megasphaera massiliensis	unclassified	Megasphaera massiliensis
MGS.ref1242	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Morganella	Morganella morganii	Morganella morganii subsp. morganii	Morganella morganii subsp. morganii
MGS.ref1243	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides chelonae	unclassified	Mycobacteroides chelonae
MGS.ref1244	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria subflava	unclassified	Neisseria subflava
MGS.ref1245	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea sp. 3.5.1	unclassified	Pantoea sp. 3.5.1
MGS.ref1246	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides gordonii	unclassified	Parabacteroides gordonii
MGS.ref1247	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	unclassified	unclassified	Prevotella sp.
MGS.ref1248	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	unclassified	unclassified	Prevotella sp.
MGS.ref1249	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Pseudoflavonifractor	Pseudoflavonifractor sp. An176	unclassified	Pseudoflavonifractor sp. An176
MGS.ref1250	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas extremaustralis	unclassified	Pseudomonas extremaustralis
MGS.ref1251	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas parafulva	unclassified	Pseudomonas parafulva
MGS.ref1252	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas nitroreducens	unclassified	Pseudomonas nitroreducens
MGS.ref1253	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Robinsoniella	Robinsoniella peoriensis	unclassified	Robinsoniella peoriensis
MGS.ref1254	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	Rothia sp. HMSC072E10	unclassified	Rothia sp. HMSC072E10
MGS.ref1255	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Selenomonas	Selenomonas artemidis	unclassified	Selenomonas artemidis
MGS.ref1256	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	Serratia marcescens	unclassified	Serratia marcescens
MGS.ref1257	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella xiamenensis	unclassified	Shewanella xiamenensis
MGS.ref1258	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. CCH9-F2	unclassified	Sphingomonas sp. CCH9-F2
MGS.ref1259	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus haemolyticus	unclassified	Staphylococcus haemolyticus
MGS.ref1260	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus hominis	Staphylococcus hominis subsp. hominis	Staphylococcus hominis subsp. hominis
MGS.ref1261	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus lugdunensis	unclassified	Staphylococcus lugdunensis
MGS.ref1262	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas bentonitica	unclassified	Stenotrophomonas bentonitica
MGS.ref1263	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia	unclassified	Stenotrophomonas maltophilia
MGS.ref1264	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus anginosus	unclassified	Streptococcus anginosus
MGS.ref1265	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus constellatus	unclassified	Streptococcus constellatus
MGS.ref1266	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	unclassified	unclassified	Streptococcus sp.
MGS.ref1267	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	unclassified	Streptococcus agalactiae
MGS.ref1268	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella sp. DNF00869	unclassified	Veillonella sp. DNF00869
MGS.ref1269	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter koseri	unclassified	Citrobacter koseri
